Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
1325,0,2,,0,Marketing,1,Full-Time,0,4,0.37,1A,0.37,0.97,74360,74360,0,0,0,0,1,41.99,0,0,1,1,1
1326,0,2,,0,Field Svcs,0,Full-Time,0,4,0.33,2H,0.33,0.83,45510,45510,0,0,0,1,1,34.31,0,0,1,1,1
1327,0,2,,0,Net Svcs,0,Full-Time,0,4,0.33,2H,0.33,0.83,45795,45795,0,0,0,1,1,19.9,0,0,1,1,1
1328,0,2,,0,Net Svcs,0,Full-Time,0,4,0.33,2H,0.33,0.83,45760,45760,0,0,0,1,1,25.09,0,0,1,1,1
1329,0,2,,0,IT,1,Full-Time,0,0,0.33,2A,0.33,0.87,80685,80685,0,0,0,1,1,47.97,0,0,1,1,1
1330,0,2,,0,IT,1,Full-Time,0,4,0.33,1A,0.33,0.84,67335,67335,0,0,0,1,1,29.46,0,0,1,1,1
1331,0,2,,0,Network Ops,0,Full-Time,0,4,0.35,1H,0.35,1.17,52050,52050,0,0,0,1,1,42.91,0,0,1,1,1
1332,1,1,Dis-End of Introductory Period,0,CCO,0,Full-Time,1,0,0.19,D2,0.19,0.84,35005,35005,0,0,0,1,2,27.01,0,0,1,1,1
1333,1,1,Dis-End of Introductory Period,0,CCO,0,Full-Time,1,0,0.08,D2,0.08,0.9,38705,38705,0,0,0,1,2,26.68,0,0,1,1,1
1334,0,2,,0,CCO,0,Full-Time,1,4,0.37,D2,0.37,0.85,36655,36655,0,0,0,0,2,29.38,0,0,1,1,1
1335,0,2,,0,Net Svcs,0,Full-Time,0,4,0.33,3H,0.33,0.93,56415,56415,0,0,0,1,1,23.1,0,0,1,1,1
1336,0,2,,0,Net Svcs,0,Full-Time,0,0,0.31,3H,0.31,1.01,58870,58870,0,0,0,1,1,49.87,0,0,1,1,1
1337,0,2,,0,Field Svcs,0,Full-Time,0,3,0.33,2H,0.33,0.86,46900,46900,0,0,0,1,1,23.04,0,0,1,1,1
1338,0,2,,0,Marketing,1,Full-Time,0,4,0.35,3A,0.35,0.86,84650,84650,0,0,0,0,2,41.44,0,0,1,1,1
1339,0,2,,0,Net Svcs,0,Full-Time,0,4,0.35,3H,0.35,0.82,50055,50055,0,0,0,1,1,26.38,0,0,1,1,1
1340,0,2,,0,CCO,1,Full-Time,1,4,0.35,1A,0.35,0.51,42245,42245,0,0,0,1,1,38.97,0,0,2,1,0.5
1341,0,2,,0,CCO,1,Full-Time,1,0,0.35,1J,0.35,0.51,37345,37345,0,0,0,0,2,26.26,0,0,1,1,1
1342,0,2,,0,Field Svcs,0,Temp,0,3,0.35,ACQ,0.35,1.01,31980,31980,0,0,0,1,1,24.25,0,0,1,1,1
1343,0,2,,0,Field Svcs,0,Full-Time,0,0,0.3,3H,0.3,0.86,52875,52875,0,0,0,1,1,47.3,0,0,1,1,1
1344,0,2,,0,IT,1,Full-Time,0,0,0.33,1J,0.03,0.66,39780,39780,0,1,0,1,2,22.58,0,0,2,2,1
1345,0,2,,0,IT,0,Temp,0,0,0.33,ACQ,0.33,1.01,40030,40030,0,0,0,1,1,27.84,0,0,1,1,1
1346,0,2,,0,Net Svcs,0,Full-Time,0,4,0.33,3H,0.33,0.86,52315,52315,0,0,0,1,2,40.48,0,0,1,1,1
1347,0,2,,1,CCO,0,Full-Time,0,0,0.24,D2,0.24,0.81,32990,32990,0,0,0,1,1,29.53,0,0,1,1,1
1348,0,2,,0,CCO,0,Full-Time,0,4,0.33,D2,0.33,0.81,32740,32740,0,0,0,0,1,29.8,0,0,1,1,1
1349,0,2,,0,CCO,0,Full-Time,0,4,0.33,D2,0.33,0.81,32870,32870,0,0,0,0,1,37.14,0,0,1,1,1
1350,0,2,,0,Field Svcs,0,Full-Time,0,3,0.33,2H,0.33,0.88,48510,48510,0,0,0,1,1,34.06,0,0,1,1,1
1351,0,2,,0,Net Svcs,0,Full-Time,0,0,0.33,D3,0.3,0.81,45795,36747,0.25,1,0,0,2,40.9,0,0,1,1,1
1352,0,2,,0,Field Svcs,0,Full-Time,0,3,0.31,2H,0.31,0.81,44555,44555,0,0,0,1,2,29.42,0,0,1,1,1
1353,0,2,,0,Field Svcs,0,Full-Time,0,3,0.33,3H,0.33,0.89,54245,54245,0,0,0,1,1,43.84,0,0,1,1,1
1354,0,2,,0,CCO,1,Full-Time,1,0,0.33,1J,0.33,0.49,30810,30810,0,0,0,1,0,41.14,0,0,1,1,1
1355,0,2,,0,Finance,1,Full-Time,1,3,0.33,1J,0.33,0.75,48690,48690,0,0,0,0,1,23.55,0,0,1,1,1
1356,0,2,,0,Finance,0,Full-Time,0,4,0.33,D3,0.33,0.89,50440,50440,0,0,0,0,1,25.65,0,0,1,1,1
1357,1,0,Res-Dissat w/Job Content,0,CCO,1,Full-Time,1,0,0.06,1J,0.06,0.49,31415,31415,0,0,0,0,0,58.3,0,0,1,1,1
1358,0,2,,0,Giro,1,Part-Time,0,3,0.31,1J,0.31,1.03,42190,42190,0,0,0,0,1,49.5,0,0,1,1,1
1359,0,2,,0,CCO,1,Full-Time,1,0,0.33,1J,0.33,0.49,30825,30825,0,0,0,1,1,59.98,0,0,1,1,1
1360,0,2,,0,HR,1,Full-Time,0,3,0.33,3A,0.33,1.07,105590,105590,0,0,0,1,2,29.29,0,0,1,1,1
1361,0,2,,0,Field Svcs,0,Full-Time,0,0,0.31,2H,0.31,0.86,47420,47420,0,0,0,1,1,23.16,0,0,1,1,1
1362,0,2,,0,Field Svcs,0,Full-Time,0,4,0.31,2H,0.31,0.88,48270,48270,0,0,0,1,2,27.24,0,0,1,1,1
1363,0,2,,0,Net Svcs,0,Full-Time,0,4,0.3,2H,0.3,0.88,48245,48245,0,0,0,1,1,25.38,0,0,1,1,1
1364,0,2,,0,IT,1,Full-Time,0,4,0.31,1J,0.31,0.83,57675,57675,0,0,0,1,1,23.32,0,0,1,1,1
1365,0,2,,0,CCO,1,Full-Time,1,0,0.33,1J,0.33,0.52,38160,38160,0,0,0,1,1,47.31,0,0,1,1,1
1366,0,2,,0,Marketing,0,Full-Time,0,3,0.33,D3,0.33,0.82,46455,46455,0,0,0,0,1,23.21,0,0,2,1,0.5
1367,0,2,,0,Field Svcs,0,Full-Time,0,3,0.31,2H,0.31,0.95,49335,49335,0,0,0,1,1,45.79,0,0,1,1,1
1368,0,2,,0,IT,1,Full-Time,0,3,0.31,1A,0.31,0.85,68540,68540,0,0,0,1,1,47.29,0,0,1,1,1
1369,0,2,,0,Field Svcs,0,Full-Time,0,4,0.31,2H,0.31,0.81,44935,44935,0,0,0,1,1,21.55,0,0,1,1,1
