Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
3526,0,2,,0,Network Ops,1,Full-Time,0,3,14.73,3E,0.64,0.9,72660,49774.4,0.46,6,0,1,1,49.13,1,0,8,2,0.25
3532,0,2,,0,Field Svcs,0,Full-Time,0,4,8.57,5H,0.87,0.93,62462.4,45427.2,0.38,6,0,1,1,52.09,1,0,35,2,0.06
3630,0,2,,0,Field Svcs,0,Full-Time,0,3,4.22,4H,0.87,0.82,49857.6,36920,0.35,6,0,1,1,61.38,1,0,2,1,0.5
3651,0,2,,0,Finance,1,Full-Time,0,4,4.09,4E,0.03,0.92,79460,55000,0.44,6,0,1,1,25.66,2,0,4,3,0.75
3693,0,2,,0,Field Svcs,0,Full-Time,0,3,3.95,CB,3.95,1.05,56472,46238.4,0.22,6,0,1,1,33.12,0,0,1,1,1
3708,0,2,,0,Field Svcs,0,Full-Time,0,3,3.9,4H,0.87,0.82,49982.4,38334.4,0.3,6,0,1,2,33.71,0,0,8,1,0.13
3728,0,2,,0,Field Svcs,0,Full-Time,0,3,3.76,4H,0.87,0.82,49857.6,36920,0.35,6,0,1,1,38.77,1,0,5,1,0.2
3769,0,2,,0,Field Svcs,0,Full-Time,0,3,3.63,CB,3.63,0.97,52436.8,43284.8,0.21,6,0,0,1,59.69,0,0,1,1,1
3793,0,2,,0,Field Svcs,0,Full-Time,0,3,3.59,4H,0.87,0.82,49982.4,36920,0.35,6,0,1,1,46.27,1,0,1,1,1
3805,0,2,,0,IT,1,Full-Time,0,4,3.55,2E,0.22,1.02,71400,35360,1.02,6,0,1,1,24.19,1,0,4,3,0.75
3822,0,2,,0,IT,1,Full-Time,0,5,3.49,3E,0.18,1.01,81990,60000,0.37,6,0,1,1,25.65,2,0,1,1,1
3842,0,2,,0,Field Svcs,0,Full-Time,0,3,3.46,4H,0.87,0.82,49982.4,33550.4,0.49,6,0,1,1,30.2,1,0,2,1,0.5
3846,0,2,,0,CCO,1,Full-Time,0,3,3.45,2E,0.11,0.81,52500,40747.2,0.29,6,0,1,1,43.27,1,1,14,5,0.36
3853,0,2,,0,Net Svcs,1,Full-Time,0,4,3.44,3E,0.15,0.86,63000,37440,0.68,6,0,0,1,60.77,2,0,3,3,1
3871,0,2,,0,Field Svcs,0,Full-Time,0,3,3.4,4H,1.1,0.82,49982.4,33924.8,0.47,6,0,1,1,48.68,2,0,5,3,0.6
3894,0,2,,0,HR,1,Full-Time,0,3,3.32,3E,0.22,0.92,71000,50000,0.42,6,1,0,2,35.4,1,0,4,3,0.75
3909,0,2,,0,HR,1,Full-Time,0,4,3.29,4E,0.11,0.93,80000,52000,0.54,6,0,0,1,33.29,2,0,2,2,1
3974,0,2,,0,Field Svcs,0,Full-Time,0,3,3.11,4H,0.87,0.87,52998.4,37377.6,0.42,6,0,1,1,37.32,0,0,3,2,0.67
3980,0,2,,0,Field Svcs,0,Full-Time,0,3,3.09,4H,0.87,0.82,49982.4,36920,0.35,6,0,1,1,30.68,1,0,3,1,0.33
3988,0,2,,0,Finance,1,Full-Time,0,3,3.07,3E,2.06,0.93,71200,33280,1.14,6,0,1,2,26.37,0,0,7,3,0.43
4073,0,2,,0,Field Svcs,0,Full-Time,0,4,2.92,1E(N),0.3,0.8,45448,33696,0.35,6,0,0,1,56.9,0,0,9,2,0.22
