sensitivities,specificities,thresholds
1,0,Inf
1,0.01020408163265306,0.989795918367347
1,0.04081632653061224,0.969387755102041
1,0.12244897959183673,0.948979591836735
1,0.25,0.928571428571429
1,0.32142857142857145,0.9081632653061225
0.9897959183673469,0.37244897959183676,0.8877551020408161
0.9693877551020408,0.4336734693877551,0.86734693877551
0.9540816326530612,0.4744897959183674,0.846938775510204
0.9540816326530612,0.5255102040816326,0.826530612244898
0.9438775510204082,0.5918367346938775,0.806122448979592
0.9336734693877551,0.673469387755102,0.785714285714286
0.9081632653061225,0.7755102040816326,0.7653061224489794
0.8775510204081632,0.8214285714285714,0.7448979591836731
0.8775510204081632,0.8724489795918368,0.714285714285714
0.8775510204081632,0.8826530612244898,0.673469387755102
0.8775510204081632,0.8928571428571429,0.63265306122449
0.8775510204081632,0.8979591836734694,0.602040816326531
0.8775510204081632,0.9030612244897959,0.5816326530612245
0.8724489795918368,0.923469387755102,0.561224489795918
0.8724489795918368,0.9336734693877551,0.5408163265306121
0.8622448979591837,0.9336734693877551,0.5204081632653059
0.8571428571428571,0.9336734693877551,0.5
0.8571428571428571,0.9438775510204082,0.479591836734694
0.8520408163265306,0.9489795918367347,0.459183673469388
0.8469387755102041,0.9642857142857143,0.438775510204082
0.8418367346938775,0.9693877551020408,0.41836734693877553
0.8367346938775511,0.9693877551020408,0.397959183673469
0.8316326530612245,0.9744897959183674,0.36734693877551
0.826530612244898,0.9744897959183674,0.336734693877551
0.8163265306122449,0.9744897959183674,0.31632653061224497
0.8112244897959183,0.9744897959183674,0.285714285714286
0.7959183673469388,0.9744897959183674,0.255102040816327
0.7857142857142857,0.9744897959183674,0.2346938775510205
0.7602040816326531,0.9744897959183674,0.21428571428571402
0.7448979591836735,0.9744897959183674,0.193877551020408
0.7397959183673469,0.9744897959183674,0.173469387755102
0.7091836734693877,0.9846938775510204,0.15306122448979603
0.6683673469387755,0.9846938775510204,0.13265306122449
0.6224489795918368,0.9846938775510204,0.11224489795918396
0.6071428571428571,0.9897959183673469,0.09183673469387749
0.576530612244898,0.9948979591836735,0.07142857142857101
0.5510204081632653,0.9948979591836735,0.051020408163264974
0.4846938775510204,0.9948979591836735,0.030612244897958996
0.4030612244897959,1,0.010204081632653017
0,1,-Inf
